"Nymity ID","Section","Control Family","Privacy Management Activity"
"NYM-45","4","Embed Data Privacy Into Operations","Integrate data privacy into e-mail marketing practices"
"NYM-46","4","Embed Data Privacy Into Operations","Integrate data privacy into telemarketing practices"
"NYM-47","4","Embed Data Privacy Into Operations","Integrate data privacy into hiring practices"
"NYM-48","4","Embed Data Privacy Into Operations","Integrate data privacy into the organization's use of social media"
"NYM-49","4","Embed Data Privacy Into Operations","Integrate data privacy into Bring Your Own Device (BYOD) policies/procedures"
"NYM-50","4","Embed Data Privacy Into Operations","Integrate data privacy into health & safety practices"
"NYM-51","4","Embed Data Privacy Into Operations","Integrate data privacy into interactions with works councils"
"NYM-52","4","Embed Data Privacy Into Operations","Integrate data privacy into practices for monitoring employees"
"NYM-53","4","Embed Data Privacy Into Operations","Integrate data privacy into use of CCTV/video surveillance"
"NYM-54","4","Embed Data Privacy Into Operations","Integrate data privacy into use of geo-location (tracking and or location) devices"
"NYM-55","4","Embed Data Privacy Into Operations","Integrate privacy into the System Development Life Cycle"
"NYM-56","4","Embed Data Privacy Into Operations","Integrate data privacy into policies/procedures regarding access to employees company e-mail accounts"
"NYM-57","4","Embed Data Privacy Into Operations","Integrate data privacy into e-discovery practices"
"NYM-58","4","Embed Data Privacy Into Operations","Integrate data privacy into conducting internal investigations"
"NYM-59","4","Embed Data Privacy Into Operations","Integrate data privacy into practices for disclosure to and for law enforcement purposes"
"NYM-60","4","Embed Data Privacy Into Operations","Integrate data privacy into digital advertising practices (eg. online, mobile)"
"NYM-61","4","Embed Data Privacy Into Operations","Integrate data privacy into research practices (eg scientific and historical research)"
"NYM-62","5","Maintain Training and Awareness Program","Conduct privacy training"
"NYM-63","5","Maintain Training and Awareness Program","Conduct privacy training reflecting job specific content"
"NYM-64","5","Maintain Training and Awareness Program","Conduct regular refresher training"
"NYM-65","5","Maintain Training and Awareness Program","Incorporate data privacy into operational training (e.g. HR. marketing, call centre)"
"NYM-66","5","Maintain Training and Awareness Program","Deliver training/awareness in response to timely issues/topics"
"NYM-67","5","Maintain Training and Awareness Program","Deliver a privacy newsletter, or incorporate privacy into existing corporate communications"
"NYM-68","5","Maintain Training and Awareness Program","Provide a repository of privacy information (e.g. an internal data privacy intranet)"
"NYM-69","5","Maintain Training and Awareness Program","Maintain privacy awareness material (e.g. posters and videos)"
"NYM-70","5","Maintain Training and Awareness Program","Conduct privacy awareness events (eg. an annual data privacy day/week)"
"NYM-71","5","Maintain Training and Awareness Program","Measure participation in data privacy training activities (eg. number of participants, scoring)"
"NYM-72","5","Maintain Training and Awareness Program","Enforce the requirement to complete privacy training"
"NYM-73","5","Maintain Training and Awareness Program","Provide ongoing education and training for the Privacy Office and/or DPOS"
"NYM-74","5","Maintain Training and Awareness Program","Maintain qualifications for individuals responsible for data privacy, including certifications"
"NYM-75","6","Manage Information Security Risk","Integrate data privacy risk into security risk assessments"
"NYM-76","6","Manage Information Security Risk","Integrate data privacy into the information security program"
"NYM-77","6","Manage Information Security Risk","Maintain technical security measures (eg. intrusion detection, firewalls, monitoring)"
"NYM-78","6","Manage Information Security Risk","Maintain measures to encrypt personal data"
"NYM-79","6","Manage Information Security Risk","Maintain an acceptable use of information resources policy"
"NYM-80","6","Manage Information Security Risk","Maintain procedures to restrict access to personal data (eg. role-based access, segregation of duties)"
"NYM-81","6","Manage Information Security Risk","Integrate data privacy into a corporate security policy (protection of physical premises and hard assets)"
"NYM-82","6","Manage Information Security Risk","Maintain human resource security measures (eg pre-screening performance appraisals)"
"NYM-83","6","Manage Information Security Risk","Integrate data privacy into business continuity plans"
"NYM-84","6","Manage Information Security Risk","Maintain a data-loss prevention strategy"
"NYM-85","6","Manage Information Security Risk","Conduct regular testing of data security posture"
"NYM-86","6","Manage Information Security Risk","Maintain a security certification (e.g. ISO, NIST, SOC)"
"NYM-87","7","Manage Third-Party Risk","Maintain defined roles and responsibilities for third parties (eg. partners, vendors, processors, customers)"
"NYM-88","7","Manage Third-Party Risk","Maintain procedures to execute contracts or agreements with all processors"
"NYM-89","7","Manage Third-Party Risk","Conduct due diligence around the data privacy and security posture of potential vendors/processors"
"NYM-90","7","Manage Third-Party Risk","Conduct due diligence on third party data sources"
"NYM-91","7","Manage Third-Party Risk","Maintain a third party data privacy risk assessment process"
"NYM-92","7","Manage Third-Party Risk","Maintain a policy governing use of cloud providers"
"NYM-93","7","Manage Third-Party Risk","Maintain procedures to address instances of non-compliance with contracts and agreements"
"NYM-94","7","Manage Third-Party Risk","Conduct due diligence around the data privacy and security posture of existing vendorsiprocessors"
"NYM-95","7","Manage Third-Party Risk","Review long-term contracts for new or evolving data privacy risks"
"NYM-96","8","Maintain Notices","Maintain a data privacy notice"
"NYM-97","8","Maintain Notices","Provide data privacy notice at all points where personal data is collected"
"NYM-98","8","Maintain Notices","Provide notice by means of on-location signage, posters"
"NYM-99","8","Maintain Notices","Provide notice in marketing communications (e.g. emails, flyers, offers)"
"NYM-100","8","Maintain Notices","Provide notice in contracts and terms"
"NYM-101","8","Maintain Notices","Maintain scripts for use by employees to explain or provide the data privacy notice"
"NYM-102","8","Maintain Notices","Maintain a privacy Seal or Trustmark on the website to increase customer trust"
"NYM-103","9","Respond to Requests and Complaints from Individuals","Maintain procedures to address complaints"
"NYM-104","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests for access to personal data"
"NYM-105","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests and/or provide a mechanism for individuals to update or correct their personal data"
"NYM-106","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests to opt-out of, restrict or object to processing"
"NYM-107","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests for information"
"NYM-108","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests for accounting for disclosures, transfers and sharing of data"
"NYM-109","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests for data portability"
"NYM-110","9","Respond to Requests and Complaints from Individuals","Maintain procedures to respond to requests to be forgotten or for erasure of data"
"NYM-111","9","Respond to Requests and Complaints from Individuals","Maintain Frequently Asked Questions to respond to queries from individuals"
"NYM-112","9","Respond to Requests and Complaints from Individuals","Investigate root causes of data privacy complaints"
"NYM-113","9","Respond to Requests and Complaints from Individuals","Obtain feedback from individuals about privacy"
"NYM-114","9","Respond to Requests and Complaints from Individuals","Monitor and report metrics for data privacy complaints (eg. number, root cause)"
"NYM-115","10","Monitor for New Operational Practices","Integrate Privacy by Design into data processing operations"
"NYM-116","10","Monitor for New Operational Practices","Maintain PIA DPIA guidelines and templates"
"NYM-117","10","Monitor for New Operational Practices","Conduct Impact Assessments for new programs, systems, processes"
"NYM-118","10","Monitor for New Operational Practices","Conduct PIAs or DPIAs for changes to existing programs, systems, or processes"
"NYM-119","10","Monitor for New Operational Practices","Engage external stakeholders (e.g., individuals, privacy advocates) as part of the PIA/DPIA process"
"NYM-120","10","Monitor for New Operational Practices","Track and address data protection issues identified during PIAS/OPIAS"
"NYM-121","10","Monitor for New Operational Practices","Report PIA/DPIA analysis and results to regulators (where required) and external stakeholders (if appropriate)"
"NYM-122","11","Maintain Data Privacy Breach Management Program","Maintain a data privacy incident/breach response plan"
"NYM-123","11","Maintain Data Privacy Breach Management Program","Conduct periodic testing of data privacy incident/breach plan"
"NYM-124","11","Maintain Data Privacy Breach Management Program","Maintain a breach notification (to affected individuals) and reporting (to regulators, credit agencies, law enforcement) protocol"
"NYM-125","11","Maintain Data Privacy Breach Management Program","Engage a breach response remediation provider"
"NYM-126","11","Maintain Data Privacy Breach Management Program","Maintain a log to track data privacy incidents/breaches"
"NYM-127","11","Maintain Data Privacy Breach Management Program","Monitor and report data privacy incident/breach metrics (eg. nature of breach, risk, root cause)"
"NYM-128","11","Maintain Data Privacy Breach Management Program","Engage a forensic investigation team"
"NYM-129","11","Maintain Data Privacy Breach Management Program","Obtain data privacy breach insurance coverage"
"NYM-130","12","Monitor Data Handling Practices","Conduct self-assessments of privacy management"
"NYM-131","12","Monitor Data Handling Practices","Monitor effectiveness of privacy controls"
"NYM-132","12","Monitor Data Handling Practices","Conduct ad-hoc walk-throughs"
"NYM-133","12","Monitor Data Handling Practices","Conduct ad-hoc assessments based on external events, such as complaints/breaches"
"NYM-134","12","Monitor Data Handling Practices","Engage a third party to conduct audits/assessments"
"NYM-135","12","Monitor Data Handling Practices","Monitor and report privacy management metrics"
"NYM-136","12","Monitor Data Handling Practices","Maintain documentation as evidence to demonstrate compliance and/or accountability"
"NYM-137","12","Monitor Data Handling Practices","Use interoperable frameworks to monitor and report on privacy risks"
"NYM-138","12","Monitor Data Handling Practices","Maintain certifications, accreditations or data protection seals for demonstrating compliance to regulators"
"NYM-139","13","Track External Criteria","Identify ongoing privacy compliance requirements eg law case law, codes, etc"
"NYM-140","13","Track External Criteria","Maintain subscriptions to compliance reporting service/law firm updates to stay informed of new developments"
"NYM-141","13","Track External Criteria","Attend/participate in privacy conferences, industry association, or think-tank events"
"NYM-142","13","Track External Criteria","Record/report on the tracking of new laws, regulations, amendments or other rule sources"
"NYM-143","13","Track External Criteria","Seek legal opinions regarding recent developments in law"
"NYM-144","13","Track External Criteria","Identify and manage conflicts in law"
"NYM-145","13","Track External Criteria","Document decisions around new requirements, including their implementation or any rationale behind decisions not to implement changes"
