Function,Category,ID,Column,Current Profile,Target Profile,GDPR Articles,Comments
Identify-P,Risk Assessment,ID.RA-P2,"Data analytic inputs and outputs are identified and evaluated for bias. ",No,No,"Art. 13(2)(f): Notification of automated decision making, Art. 14(2)(g): Notification of automated decision making, Art. 22: Automated decision making, Art. 25(1): DPbDD Design, Art. 35: DPIA for high risk processing activities, Art. 5(1)(a): Lawful Fair and Transparent",
Identify-P,Risk Assessment,ID.RA-P3,"Potential problematic data actions and associated problems are identified. ",No,No,"Art. 22: Automated decision making, Art. 24(1): Responsibilities of Controller, Art. 25(1): DPbDD Design, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 6: Lawfulness of Processing",
Identify-P,Risk Assessment,ID.RA-P4,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 25(1): DPbDD Design, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35: DPIA for high risk processing activities, Art. 6: Lawfulness of Processing",
Identify-P,Risk Assessment,ID.RA-P5,"Risk responses are identified, prioritized, and implemented.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 25(1): DPbDD Design, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35: DPIA for high risk processing activities",
Identify-P,"Data Processing Ecosystem Risk Management",ID.DE-P1,"Data processing ecosystem risk management policies, processes, and procedures are identified, established, assessed, managed, and agreed to by organizational stakeholders.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 24(2): Responsibilities of Controller - data protection policies, Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 35: DPIA for high risk processing activities, Art. 5(2): Accountability",
Identify-P,"Data Processing Ecosystem Risk Management",ID.DE-P2,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified, prioritized, and assessed using a privacy risk assessment process.",No,No,"Art. 28(1): Controller to use processors providing sufficient guarantees, Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Identify-P,"Data Processing Ecosystem Risk Management",ID.DE-P3,Contracts with data processing ecosystem parties are used to implement appropriate measures designed to meet the objectives of an organization’s privacy program.,No,No,"Art. 26: Joint Controllers, Art. 28(1-3-4-6-9): Processors governed by contract, Art. 30(2)(d): Records of processing - processor to maintain records of security measures, Art. 35(1): DPIA High Risk assessment, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Identify-P,"Data Processing Ecosystem Risk Management",ID.DE-P4,Interoperability frameworks or similar multi-party approaches are used to manage data processing ecosystem privacy risks.,No,No,"Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 32: Security of Processing",
Identify-P,"Data Processing Ecosystem Risk Management",ID.DE-P5,"Data processing ecosystem parties are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual, interoperability framework, or other obligations.",No,No,"Art. 24(1): Responsibilities of Controller, Art. 28(1-3-4-6-9): Processors governed by contract, Art. 30(2)(d): Records of processing - processor to maintain records of security measures, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 35(11): DPIA - Periodic review of DPIA, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P1,"Organizational privacy values and policies (e.g., conditions on data processing such as data uses or retention periods, individuals’ prerogatives with respect to data processing) are established and communicated.",No,No,"Art. 24(2): Responsibilities of Controller - data protection policies, Art. 6: Lawfulness of Processing",
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P2,"Processes to instill organizational privacy values within system/product/service development and operations are established and in place. ",No,No,Art. 25(1): DPbDD Design,
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P3,"Roles and responsibilities for the workforce are established with respect to privacy. ",No,No,"Art. 27: Representatives, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO, Art. 5(2): Accountability",
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P4,"Privacy roles and responsibilities are coordinated and aligned with third-party stakeholders (e.g., service providers, customers, partners). ",No,No,"Art. 28(1-3-4-6-9): Processors governed by contract, Art. 30(2)(d): Records of processing - processor to maintain records of security measures, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P5,"Legal, regulatory, and contractual requirements regarding privacy are understood and managed. ",No,No,"Art. 23: Restrictions, Art. 24(3): Controller adherrance to codes of conduct or certification, Art. 25(3): DPbDD certification, Art. 28(10): Processor default to controller, Art. 28(3): Processing based on documented instructions from the controller, Art. 28(4): Engaging subprocessor, Art. 28(5): Processor adherance to code of conduct, Art. 28(6): Processor use of standard contract clauses, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 32(3): Security of Processing - Code of Conduct or certification, Art. 40: Codes of Coduct, Art. 41: Monitoring codes of conduct, Art. 42: Certification, Art. 5(1)(a): Lawful Fair and Transparent, Art. 5(1)(f): Integrity and Confidentiality, Art. 6: Lawfulness of Processing",
Govern-P,"Governance Policies, Processes, and Procedures",GV.PO-P6,"Governance and risk management policies, processes, and procedures address privacy risks.",No,No,"Art. 24(2): Responsibilities of Controller - data protection policies, Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Govern-P,Risk Management Strategy,GV.RM-P1,"Risk management processes are established, managed, and agreed to by organizational stakeholders.",No,No,Art. 32(2): Security of Processing - Assessing appropriate level of security,
Govern-P,Risk Management Strategy,GV.RM-P2,"Organizational risk tolerance is determined and clearly expressed.  ",No,No,Art. 32(2): Security of Processing - Assessing appropriate level of security,
Govern-P,Risk Management Strategy,GV.RM-P3,The organization’s determination of risk tolerance is informed by its role(s) in the data processing ecosystem,No,No,"Art. 24(1): Responsibilities of Controller, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Govern-P,Awareness and Training,GV.AT-P1,The workforce is informed and trained on its roles and responsibilities.,No,No,"Art. 27: Representatives, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO",
Govern-P,Awareness and Training,GV.AT-P2,Senior executives understand their roles and responsibilities.,No,No,"Art. 27: Representatives, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO",
Govern-P,Awareness and Training,GV.AT-P3,Privacy personnel understand their roles and responsibilities.,No,No,"Art. 27: Representatives, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO",
Govern-P,Awareness and Training,GV.AT-P4,"Third parties (e.g., service providers, customers, partners) understand their roles and responsibilities.",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 15(3): Right of Access - copy of data, Art. 17(2): Right of Erasure, Art. 21(4): Notification of right to object, Art. 24(2): Responsibilities of Controller - data protection policies, Art. 28(1-3-4-6-9): Processors governed by contract, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 35(1): DPIA High Risk assessment, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Govern-P,Monitoring and Review,GV.MT-P1,"Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization’s business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change.",No,No,"Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 35(11): DPIA - Periodic review of DPIA",
Govern-P,Monitoring and Review,GV.MT-P2,"Privacy values, policies, and training are reviewed and any updates are communicated.",No,No,"Art. 27: Representatives, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO",
Govern-P,Monitoring and Review,GV.MT-P3,"Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place. ",No,No,"Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Govern-P,Monitoring and Review,GV.MT-P4,"Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place.",No,No,"Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Govern-P,Monitoring and Review,GV.MT-P5,"Policies, processes, and procedures are established and in place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g., internal discovery, privacy researchers, professional events).",No,No,,
Govern-P,Monitoring and Review,GV.MT-P6,"Policies, processes, and procedures incorporate lessons learned from problematic data actions. ",No,No,,
Govern-P,Monitoring and Review,GV.MT-P7,"Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place.",No,No,"Art. 12(3-6): Right to notice, Art. 15: Right of Access, Art. 17(2): Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 38(4): DPO as a point of contact to for data subjects.",
Control-P,"Data Processing Policies, Processes, and Procedures",CT.PO-P1,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",No,No,"Art. 10: Processing criminal data, Art. 12(2): Controller obligation to fulfill rights of data subject, Art. 17(3): Exemptions for right to erasure, Art. 18(2): Exception to right to restriction of processing, Art. 22: Automated decision making, Art. 28(3)(a): Processor should process based on documented instructions, Art. 29: Processor acting under authority of the controller, Art. 32(4): Security of Processing - individuals with access to data, Art. 35: DPIA for high risk processing activities, Art. 5(1)(a): Lawful Fair and Transparent, Art. 5(1)(b): Purpose Limitation, Art. 6: Lawfulness of Processing, Art. 7: Conditions of Consent, Art. 8: Child's cosent, Art. 9: Processing special categories of data",
Control-P,"Data Processing Policies, Processes, and Procedures",CT.PO-P2,"Policies, processes, and procedures for enabling data review, transfer, sharing or disclosure, alteration, and deletion are established and in place (e.g., to maintain data quality, manage data retention). ",No,No,"Art. 12(2): Controller obligation to fulfill rights of data subject, Art. 13(2)(b): Notification of right to rectification or erasure, Art. 13(2)(c): Notification of right to withdraw consent, Art. 13(2)(f): Notification of automated decision making, Art. 14(2)(c): Notification of right to rectification or erasure, Art. 14(2)(d): Notification of right to withdraw consent, Art. 14(2)(g): Notification of automated decision making, Art. 15: Right of Access, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 18: Right to Restriction of Processing, Art. 20: Right to Data Portability, Art. 21: Right to Object, Art. 22: Automated decision making, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 28: Processor obligations, Art. 30(1)(d): Records of processing categories of recipients, Art. 30(1)(e): Records of processing by controller: transfers, Art. 30(2)(c): Records of processing by processors: transfers, Art. 44: Crossborder transfers, Art. 45: Transfers based on adequacy, Art. 47: Transfers based on BCRs, Art. 48: Transfers not authorized by law, Art. 49: Derogation for transfers, Art. 5(1)(d): Accuracy, Art. 5(2): Accountability, Art. 7(3): Right to withdraw consent",
Control-P,"Data Processing Policies, Processes, and Procedures",CT.PO-P3,"Policies, processes, and procedures for enabling individuals’ data processing preferences and requests are established and in place.",No,No,"Art. 12(2): Controller obligation to fulfill rights of data subject, Art. 13(2)(b): Notification of right to rectification or erasure, Art. 13(2)(c): Notification of right to withdraw consent, Art. 13(2)(f): Notification of automated decision making, Art. 14(2)(c): Notification of right to rectification or erasure, Art. 14(2)(d): Notification of right to withdraw consent, Art. 14(2)(g): Notification of automated decision making, Art. 15(3): Right of Access - copy of data, Art. 15(4): Right of access - not infringe  rights of others, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 18: Right to Restriction of Processing, Art. 20: Right to Data Portability, Art. 21: Right to Object, Art. 22: Automated decision making, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 7(3): Right to withdraw consent",
Control-P,"Data Processing Policies, Processes, and Procedures",CT.PO-P4,A data life cycle to manage data is aligned and implemented with the system development life cycle to manage systems.,No,No,Art. 25(1): DPbDD Design,
Control-P,Data Processing Management,CT.DM-P1,Data elements can be accessed for review.,No,No,"Art. 15(3): Right of Access - copy of data, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 30: Records of Processing, Art. 5(1)(d): Accuracy",
Control-P,Data Processing Management,CT.DM-P2,"Data elements can be accessed for transmission or disclosure. ",No,No,"Art. 15(3): Right of Access - copy of data, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 30: Records of Processing, Art. 5(1)(d): Accuracy",
Control-P,Data Processing Management,CT.DM-P3,"Data elements can be accessed for alteration. ",No,No,"Art. 15(3): Right of Access - copy of data, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 30: Records of Processing, Art. 5(1)(d): Accuracy",
Control-P,Data Processing Management,CT.DM-P4,Data elements can be accessed for deletion.,No,No,"Art. 15(3): Right of Access - copy of data, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 30: Records of Processing, Art. 5(1)(c): Data Minimization, Art. 5(1)(d): Accuracy",
Control-P,Data Processing Management,CT.DM-P5,"Data are destroyed according to policy. ",No,No,"Art. 28(3)(a): Processor should process based on documented instructions, Art. 28(3)(g): Processor obligation to delete data at end of contract, Art. 5(1)(c): Data Minimization",
Control-P,Data Processing Management,CT.DM-P6,"Data are transmitted using standardized formats. ",No,No,"Art. 15(3): Right of Access - copy of data, Art. 17(2): Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 5(1)(d): Accuracy, Art. 5(1)(f): Integrity and Confidentiality",
Control-P,Data Processing Management,CT.DM-P7,"Mechanisms for transmitting processing permissions and related data values with data elements are established and in place. ",No,No,"Art. 28(3)(g): Processor obligation to delete data at end of contract, Art. 30(1)(f): Records of processing- data retention/deletion schedule, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation, Art. 5(1)(f): Integrity and Confidentiality",
Control-P,Data Processing Management,CT.DM-P8,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy and incorporating the principle of data minimization. ",No,No,"Art. 24(1): Responsibilities of Controller, Art. 24(2): Responsibilities of Controller - data protection policies, Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Control-P,Data Processing Management,CT.DM-P9,"Technical measures implemented to manage data processing are tested and assessed. ",No,No,Art. 32(1)(b): Security of Processing - ensure ongoing CIA,
Control-P,Data Processing Management,CT.DM-P10,Stakeholder privacy preferences are included in algorithmic design objectives and outputs are evaluated against these preferences,No,No,"Art. 22: Automated decision making, Art. 32(1)(b): Security of Processing - ensure ongoing CIA",
Control-P,Disassociated Processing,CT.DP-P1,"Data are processed to limit observability and linkability (e.g., data actions take place on local devices, privacy-preserving cryptography).",No,No,"Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 35: DPIA for high risk processing activities, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation",
Control-P,Disassociated Processing,CT.DP-P2,"Data are processed to limit the identification of individuals (e.g., de-identification privacy techniques, tokenization). ",No,No,"Art. 11(1): Processing not requiring identification, Art. 25(2): DPbDD Default, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation",
Control-P,Disassociated Processing,CT.DP-P3,"Data are processed to limit the formulation of inferences about individuals’ behavior or activities (e.g., data processing is decentralized, distributed architectures).",No,No,"Art. 25(2): DPbDD Default, Art. 28(3)(a): Processor should process based on documented instructions, Art. 28(3)(h): Processer makes available documentation to controller Art. 30: Records of Processing, Art. 32(4): Security of Processing - individuals with access to data, Art. 5(1)(a): Lawful Fair and Transparent, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation",
Control-P,Disassociated Processing,CT.DP-P4,"System or device configurations permit selective collection or disclosure of data elements. ",No,No,"Art. 25(2): DPbDD Default, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization",
Control-P,Disassociated Processing,CT.DP-P5,Attribute references are substituted for attribute values.,No,No,"Art. 11(1): Processing not requiring identification, Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation",
Communicate-P,"Communication Policies, Processes, and Procedures",CM.PO-P1,"Transparency policies, processes, and procedures for communicating data processing purposes, practices, and associated privacy risks are established and in place.",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 15: Right of Access, Art. 17(2): Right of Erasure, Art. 18(3): Right of Restriction right to be informed before restriction is lifted, Art. 21(4): Notification of right to object, Art. 28(3)(e): Processor to assist controller with technical and org. measures",
Communicate-P,"Communication Policies, Processes, and Procedures",CM.PO-P2,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established.",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 15: Right of Access, Art. 17(2): Right of Erasure, Art. 18(3): Right of Restriction right to be informed before restriction is lifted, Art. 21(4): Notification of right to object, Art. 27: Representatives, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 37: Data Protection Officer, Art. 38: DPO qualifications, Art. 39: Tasks of a DPO",
Communicate-P,Data Processing Awareness,CM.AW-P1,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place.",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 15: Right of Access, Art. 17(2): Right of Erasure, Art. 18(3): Right of Restriction right to be informed before restriction is lifted, Art. 21(4): Notification of right to object, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 7: Conditions of Consent",
Communicate-P,Data Processing Awareness,CM.AW-P2,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place. ",No,No,"Art. 12: Controller obligations to notice, Art. 15: Right of Access, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 31: Cooperation with supervisor authorities, Art. 35(9):  DPIA seek views of data subjects or their representatives, Art. 36: Prior Consultation, Art. 5(1)(f): Integrity and Confidentiality",
Communicate-P,Data Processing Awareness,CM.AW-P3,"System/product/service design enables data processing visibility. ",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 17(2): Right of Erasure, Art. 21(4): Notification of right to object, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 32(1)(b): Security of Processing - ensure ongoing CIA",
Communicate-P,Data Processing Awareness,CM.AW-P4,Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure.,No,No,"Art. 28(3): Processing based on documented instructions from the controller, Art. 30(1)(d): Records of processing categories of recipients, Art. 48: Transfers not authorized by law",
Communicate-P,Data Processing Awareness,CM.AW-P5,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem. ",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13(3): Notice to data subjects of additional processing, Art. 14(4): Notice to data subjects of additional processing, Art. 15(3): Right of Access - copy of data, Art. 17(2): Right of Erasure, Art. 19: Notification of obligation of rectification and erasure, Art. 21(4): Notification of right to object, Art. 28(3)(e): Processor to assist controller with technical and org. measures",
Communicate-P,Data Processing Awareness,CM.AW-P6,Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure.,No,No,"Art. 24(1): Responsibilities of Controller, Art. 30: Records of Processing, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 5(1)(f): Integrity and Confidentiality, Art. 5(2): Accountability",
Communicate-P,Data Processing Awareness,CM.AW-P7,Impacted individuals and organizations are notified about a privacy breach or event.,No,No,"Art. 28(3): Processing based on documented instructions from the controller, Art. 33: Notification of data breach to supervisory authority, Art. 34: Notification of data breach to data subject",
Communicate-P,Data Processing Awareness,CM.AW-P8,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions.",No,No,"Art. 13(2)(b): Notification of right to rectification or erasure, Art. 14(2)(c): Notification of right to rectification or erasure, Art. 16: Right to rectification, Art. 17: Right of Erasure, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 5(1)(d): Accuracy",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P1,"A baseline configuration of information technology is created and maintained incorporating security principles (e.g., concept of least functionality).",No,No,"Art. 25(2): DPbDD Default, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P2,Configuration change control processes are established and in place.,No,No,,
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P3,"Backups of information are conducted, maintained, and tested.",No,No,"Art. 32(1)(c): Security of Processing - Ability to restore data, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P4,"Policy and regulations regarding the physical operating environment for organizational assets are met. ",No,No,,
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P5,"Protection processes are improved. ",No,No,"Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 32(2): Security of Processing - Assessing appropriate level of security",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P6,"Effectiveness of protection technologies is shared. ",No,No,"Art. 11(2): Processing not requiring identification, Art. 12(1): Clear and plain language, Art. 12(7): Icons, Art. 13: Notice to data subjects, Art. 14: Notice to data subjects, Art. 28(3)(e): Processor to assist controller with technical and org. measures, Art. 32(1)(b): Security of Processing - ensure ongoing CIA",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P7,"Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are established, in place, and managed. ",No,No,"Art. 33: Notification of data breach to supervisory authority, Art. 34: Notification of data breach to data subject, Art. 5(1)(f): Integrity and Confidentiality",
